Pathway	Gene_ID	Gene_Name
JAK-STAT	1026	CDKN1A
JAK-STAT	4616	GADD45B
JAK-STAT	1545	CYP1B1
JAK-STAT	3600	IL15
JAK-STAT	3601	IL15RA
JAK-STAT	9235	IL32
JAK-STAT	7706	TRIM25
JAK-STAT	7855	FZD5
JAK-STAT	1052	CEBPD
JAK-STAT	3620	IDO1
JAK-STAT	10791	VAMP5
JAK-STAT	3627	CXCL10
JAK-STAT	55340	GIMAP5
JAK-STAT	11316	COPE
JAK-STAT	127544	RNF19B
JAK-STAT	60	ACTB
JAK-STAT	8767	RIPK2
JAK-STAT	5698	PSMB9
JAK-STAT	694	BTG1
JAK-STAT	3142	HLX
JAK-STAT	8775	NAPA
JAK-STAT	7752	ZNF200
JAK-STAT	2633	GBP1
JAK-STAT	2634	GBP2
JAK-STAT	3659	IRF1
JAK-STAT	2643	GCH1
JAK-STAT	597	BCL2A1
JAK-STAT	604	BCL6
JAK-STAT	56929	FEM1C
JAK-STAT	2669	GEM
JAK-STAT	6772	STAT1
JAK-STAT	1154	CISH
JAK-STAT	5788	PTPRC
JAK-STAT	10912	GADD45G
JAK-STAT	2209	FCGR1A
JAK-STAT	678	ZFP36L2
JAK-STAT	682	BSG
JAK-STAT	5292	PIM1
JAK-STAT	3759	KCNJ2
JAK-STAT	182	JAG1
JAK-STAT	4283	CXCL9
JAK-STAT	5315	PKM2
JAK-STAT	710	SERPING1
JAK-STAT	6347	CCL2
JAK-STAT	9935	MAFB
JAK-STAT	6354	CCL7
JAK-STAT	6355	CCL8
JAK-STAT	5341	PLEK
JAK-STAT	8418	CMAH
JAK-STAT	6373	CXCL11
JAK-STAT	6890	TAP1
JAK-STAT	8743	TNFSF10
JAK-STAT	5359	PLSCR1
JAK-STAT	8434	RECK
JAK-STAT	5366	PMAIP1
JAK-STAT	7422	VEGFA
JAK-STAT	5898	RALA
JAK-STAT	54541	DDIT4
JAK-STAT	7453	WARS
JAK-STAT	5920	RARRES3
JAK-STAT	7852	CXCR4
JAK-STAT	22822	PHLDA1
JAK-STAT	10538	BATF
JAK-STAT	6446	SGK1
JAK-STAT	2353	FOS
JAK-STAT	1843	DUSP1
JAK-STAT	1847	DUSP5
JAK-STAT	1848	DUSP6
JAK-STAT	5434	POLR2E
JAK-STAT	4924	NUCB1
JAK-STAT	9021	SOCS3
JAK-STAT	3394	IRF8
JAK-STAT	3397	ID1
JAK-STAT	2889	RAPGEF1
JAK-STAT	3383	ICAM1
JAK-STAT	3916	LAMP1
JAK-STAT	3937	LCP2
JAK-STAT	3429	IFI27
JAK-STAT	6503	SLA
JAK-STAT	3433	IFIT2
JAK-STAT	3434	IFIT1
JAK-STAT	5996	RGS1
JAK-STAT	3437	IFIT3
JAK-STAT	1390	CREM
JAK-STAT	7538	ZFP36
JAK-STAT	6515	SLC2A3
JAK-STAT	2934	GSN
JAK-STAT	375	ARF1
JAK-STAT	22904	SBNO2
JAK-STAT	3135	HLA-G
JAK-STAT	6891	TAP2
JAK-STAT	9605	C16orf7
JAK-STAT	390	RND3
JAK-STAT	3985	LIMK2
JAK-STAT	91543	RSAD2
JAK-STAT	7071	KLF10
JAK-STAT	9123	SLC16A3
JAK-STAT	1958	EGR1
JAK-STAT	1959	EGR2
JAK-STAT	54855	FAM46C
JAK-STAT	4023	LPL
JAK-STAT	24138	IFIT5
JAK-STAT	5054	SERPINE1
JAK-STAT	969	CD69
JAK-STAT	8651	SOCS1
JAK-STAT	7124	TNF
JAK-STAT	7127	TNFAIP2
JAK-STAT	7128	TNFAIP3
JAK-STAT	3553	IL1B
JAK-STAT	2533	FYB
JAK-STAT	10221	TRIB1
JAK-STAT	3569	IL6
JAK-STAT	6398	SECTM1
JAK-STAT	56829	ZC3HAV1
TNFa	255488	RNF144B
TNFa	6659	SOX4
TNFa	1540	CYLD
TNFa	79365	BHLHE41
TNFa	1030	CDKN2B
TNFa	4616	GADD45B
TNFa	7280	TUBB2A
TNFa	10769	PLK2
TNFa	92181	UBTD2
TNFa	7127	TNFAIP2
TNFa	3096	HIVEP1
TNFa	3097	HIVEP2
TNFa	9242	MSC
TNFa	57007	CXCR7
TNFa	1052	CEBPD
TNFa	7980	TFPI2
TNFa	8744	TNFSF9
TNFa	6236	RRAD
TNFa	9258	MFHAS1
TNFa	23645	PPP1R15A
TNFa	10289	EIF1B
TNFa	6446	SGK1
TNFa	3638	INSIG1
TNFa	23095	KIF1B
TNFa	378938	MALAT1
TNFa	54331	GNG2
TNFa	55893	ZNF395
TNFa	8767	RIPK2
TNFa	9792	SERTAD2
TNFa	2113	ETS1
TNFa	2114	ETS2
TNFa	10308	ZNF267
TNFa	3656	IRAK2
TNFa	2633	GBP1
TNFa	4170	MCL1
TNFa	3659	IRF1
TNFa	51278	IER5
TNFa	2643	GCH1
TNFa	140885	SIRPA
TNFa	79960	PHF17
TNFa	602	BCL3
TNFa	8795	TNFRSF10B
TNFa	9308	CD83
TNFa	4794	NFKBIE
TNFa	23135	KDM6B
TNFa	54880	BCOR
TNFa	8295	TRRAP
TNFa	3205	HOXA9
TNFa	58476	TP53INP2
TNFa	2669	GEM
TNFa	1647	GADD45A
TNFa	51312	SLC25A37
TNFa	645745	MT1P2
TNFa	64116	SLC39A8
