Pathway	Gene_Name
TNFa	SOX4
TNFa	IFNGR2
TNFa	CFLAR
TNFa	NFKBIE
TNFa	BMP2
TNFa	NFKB2
TNFa	NKX3-1
TNFa	CCL20
TNFa	NAMPT
TNFa	TNFAIP6
TNFa	IER3
TNFa	SDC4
TNFa	NMB
TNFa	SLC39A14
TNFa	SQSTM1
TNFa	SRGN
TNFa	EIF1B
TNFa	TNFAIP3
TNFa	NFKB1
TNFa	ICAM1
TNFa	NFKBIA
TNFa	EHD1
TNFa	SERPINE1
TNFa	RIPK2
TNFa	TIFA
TNFa	CCL2
TNFa	ID1
TNFa	XBP1
TNFa	IRAK2
TNFa	GBP1
TNFa	BIRC3
TNFa	IRF1
TNFa	NFKBIZ
TNFa	TNIP1
TNFa	CCL5
TNFa	SOD2
TNFa	GCH1
TNFa	NINJ1
TNFa	TNFAIP2
TNFa	TNFAIP8
TNFa	BCL3
TNFa	CD83
TNFa	MALAT1
TNFa	KDM6B
TNFa	EGR1
TNFa	CXCL1
TNFa	CXCL2
TNFa	CXCL3
TNFa	PTGS2
TNFa	SLC25A37
TNFa	IL6
TNFa	RELB
TNFa	WTAP
TNFa	PMAIP1
TNFa	IL8
TNFa	FILIP1L
VEGF	RPL37
VEGF	RHOJ
VEGF	RPS5
VEGF	MRPL30
VEGF	FAM161B
VEGF	EZH1
VEGF	FABP4
VEGF	USP31
VEGF	IGF2BP3
VEGF	RIMKLB
VEGF	SCO1
VEGF	MAP3K11
VEGF	BCL6B
VEGF	IWS1
VEGF	SDPR
VEGF	ACAP3
VEGF	C20orf30
VEGF	OSTM1
VEGF	RASA3
VEGF	RGS5
VEGF	SH3GL1
VEGF	ST3GAL2
VEGF	LIMS3
VEGF	PACS1
VEGF	ARNT
VEGF	CCDC124
VEGF	ANKRD1
VEGF	STYXL1
VEGF	UGGT2
VEGF	SNCA
VEGF	GAB1
VEGF	MBTPS1
VEGF	PDGFD
VEGF	RFWD2
VEGF	GIMAP7
VEGF	GCNT2
VEGF	RSPRY1
VEGF	HPSE
VEGF	TIMM22
VEGF	LOC440983
VEGF	SSU72
VEGF	JAZF1
VEGF	NID1
VEGF	ILVBL
VEGF	GOLGB1
VEGF	SFT2D1
VEGF	C10orf47
VEGF	SYNM
VEGF	COLEC12
VEGF	C6orf129
VEGF	TIE1
VEGF	GUCY1A3
VEGF	SEC23IP
VEGF	C12orf73
VEGF	SF3B4
VEGF	NUDCD1
VEGF	SLC37A3
VEGF	HIP1
VEGF	ZC3HAV1L
VEGF	TRIM4
VEGF	TNFSF4
VEGF	HOXB3
VEGF	LOC100131993
VEGF	OAF
VEGF	ANTXR1
VEGF	JMJD8
VEGF	MED21
VEGF	KCTD15
VEGF	PLCG1
VEGF	RPL22L1
VEGF	EXOC6
VEGF	GIMAP2
VEGF	LRRC57
VEGF	VWF
VEGF	PKIG
VEGF	GIMAP6
VEGF	MIDN
VEGF	LENG8
VEGF	PPP1R16B
VEGF	MRPS5
VEGF	UBXN2A
VEGF	TECPR1
VEGF	EXOC8
VEGF	PROX1
VEGF	EME1
VEGF	HAUS6
VEGF	PL-5283
VEGF	ECSCR
VEGF	SEMA6D
VEGF	ITPR2
VEGF	WDR93
VEGF	PLDN
VEGF	DDX46
VEGF	TULP4
VEGF	PTPRM
VEGF	APOLD1
VEGF	C19orf63
VEGF	TM4SF18
VEGF	RMND1
VEGF	CLDN5
VEGF	STAB1
VEGF	KRT7
VEGF	RIOK1
VEGF	UHMK1
VEGF	RG9MTD1
VEGF	PGM2
VEGF	FRMD6
VEGF	CEBPZ
VEGF	EIF4EBP1
VEGF	LOC401397
VEGF	MMRN2
VEGF	FAM84B
VEGF	C6orf125
VEGF	THOC4
VEGF	TSHZ1
VEGF	TAF15
VEGF	SVIP
VEGF	CALCRL
VEGF	IPO11
VEGF	SEMA6B
VEGF	SF3A2
PI3K_only	C14orf143
PI3K_only	GTPBP6
PI3K_only	ZRSR2
PI3K_only	SPC25
PI3K_only	NT5DC1
PI3K_only	ESCO1
PI3K_only	SFRS15
PI3K_only	SIP1
PI3K_only	ANXA2P2
PI3K_only	RRP1
PI3K_only	LOC100131262
PI3K_only	ATP1A3
PI3K_only	INPP4B
PI3K_only	BUB1
PI3K_only	CASP9
