Pathway	Gene_Name
PI3K_only	NCSTN
PI3K_only	BCL7B
PI3K_only	CHML
PI3K_only	GTF3C3
PI3K_only	SIRT5
PI3K_only	FBXO7
PI3K_only	ANKRD40
PI3K_only	CNN2
PI3K_only	C1orf43
PI3K_only	TP53I3
PI3K_only	COX11
PI3K_only	USP36
PI3K_only	SPAG7
PI3K_only	CHD1L
PI3K_only	CRABP2
PI3K_only	CREBBP
PI3K_only	TRMT6
PI3K_only	NUP93
PI3K_only	DBH
PI3K_only	KIAA0586
PI3K_only	INTS1
PI3K_only	DCI
PI3K_only	LIN52
PI3K_only	SHROOM3
PI3K_only	DDC
PI3K_only	SETDB1
PI3K_only	PTPMT1
PI3K_only	SUPT7L
PI3K_only	DLD
PI3K_only	AMMECR1
PI3K_only	THRAP3
PI3K_only	CASP8AP2
PI3K_only	DPYSL2
PI3K_only	DSC2
PI3K_only	TOM1L1
PI3K_only	DUSP8
PI3K_only	MED31
PI3K_only	MRPL54
PI3K_only	FARSB
PI3K_only	ARPC3
PI3K_only	LRPPRC
PI3K_only	TATDN1
PI3K_only	EPHB2
PI3K_only	RABEPK
PI3K_only	KATNB1
PI3K_only	F12
PI3K_only	MRPL35
PI3K_only	PEMT
PI3K_only	SNX7
PI3K_only	ZNF644
PI3K_only	DLG3
PI3K_only	VAV3
PI3K_only	LOC100133109
PI3K_only	CISD2
PI3K_only	ALKBH7
PI3K_only	DPYSL4
PI3K_only	VTA1
PI3K_only	PHOSPHO2
PI3K_only	SH2B2
PI3K_only	DDX42
PI3K_only	DNAJC2
PI3K_only	NPTN
PI3K_only	TADA1L
PI3K_only	GAMT
PI3K_only	JAGN1
PI3K_only	C5orf33
PI3K_only	GBAS
PI3K_only	NMU
PI3K_only	CLP1
PI3K_only	SF3B2
PI3K_only	TMED1
PI3K_only	MID2
PI3K_only	WWP2
PI3K_only	GPX2
PI3K_only	GPX4
PI3K_only	AGPAT9
PI3K_only	HIST1H1C
PI3K_only	FAM173B
PI3K_only	HFE
PI3K_only	HLA-DMB
PI3K_only	FIGN
PI3K_only	FAM58A
PI3K_only	HNRNPF
PI3K_only	SNRNP200
PI3K_only	RINT1
PI3K_only	HSPA2
PI3K_only	DNAJC4
PI3K_only	RHPN2
PI3K_only	FLJ39632
PI3K_only	MECR
PI3K_only	TADA2B
PI3K_only	IK
PI3K_only	ZBTB8OS
PI3K_only	TRUB1
PI3K_only	CCNYL1
PI3K_only	EFCAB8
PI3K_only	LOC388796
PI3K_only	LCP1
PI3K_only	DCLRE1B
PI3K_only	CXorf15
PI3K_only	MFAP3
PI3K_only	MIPEP
PI3K_only	PSMG4
PI3K_only	MPST
PI3K_only	MSH3
PI3K_only	APC2
PI3K_only	MTAP
PI3K_only	tcag7.903
PI3K_only	THAP5
PI3K_only	NAP1L4
PI3K_only	NME3
PI3K_only	NMT1
PI3K_only	CNOT3
PI3K_only	SELI
PI3K_only	C4orf16
PI3K_only	RIPK4
PI3K_only	LOC283508
PI3K_only	UBE2Q2
PI3K_only	GATC
PI3K_only	OVOL1
PI3K_only	P2RX5
PI3K_only	PDCL
PI3K_only	LYRM5
PI3K_only	MAP7
PI3K_only	PFAS
PI3K_only	KRT80
PI3K_only	DDX50
PI3K_only	PIK3R2
PI3K_only	NLE1
PI3K_only	PRRG4
PI3K_only	MTRF1L
PI3K_only	PUS7
PI3K_only	CRLS1
PI3K_only	DYM
PI3K_only	ESRP1
PI3K_only	FNBP1L
PI3K_only	RPP25
PI3K_only	MRPL16
PI3K_only	PWP2
PI3K_only	RAB4A
PI3K_only	SLC35A5
PI3K_only	TMEM161B
PI3K_only	GALNT12
PI3K_only	DEDD
PI3K_only	C17orf42
PI3K_only	C14orf104
PI3K_only	TTC27
PI3K_only	ATAD3A
PI3K_only	MRPL45
PI3K_only	ACER3
PI3K_only	RPLP2
PI3K_only	TCEAL4
PI3K_only	MARVELD3
PI3K_only	DSN1
PI3K_only	FASTKD5
PI3K_only	LOC440434
PI3K_only	FEM1A
PI3K_only	SLC39A4
PI3K_only	OSGEP
PI3K_only	ELL3
PI3K_only	SLC16A2
PI3K_only	CCDC90A
PI3K_only	PDCD11
PI3K_only	SMARCD1
PI3K_only	TMEM68
PI3K_only	CDCA5
PI3K_only	SNRPG
PI3K_only	NUP133
PI3K_only	SPINT1
PI3K_only	SPR
PI3K_only	RBKS
PI3K_only	LANCL2
PI3K_only	ATG4B
PI3K_only	RRP12
PI3K_only	TAF12
PI3K_only	TSPYL4
PI3K_only	VMA21
PI3K_only	VPS72
PI3K_only	NARG1L
PI3K_only	PPP1R11
PI3K_only	ATP5S
PI3K_only	TGFB3
PI3K_only	RBM34
PI3K_only	C9orf119
PI3K_only	WDR45L
PI3K_only	ZNF721
PI3K_only	PHTF1
PI3K_only	MITD1
PI3K_only	PIK3C2B
PI3K_only	ILKAP
PI3K_only	CBY1
PI3K_only	ACOT9
PI3K_only	PATZ1
PI3K_only	TSC2
PI3K_only	VPS16
PI3K_only	PISD
PI3K_only	S100PBP
PI3K_only	EID2
PI3K_only	TTLL5
PI3K_only	MRPL38
PI3K_only	ECHS1
PI3K_only	NOL6
PI3K_only	TMEM199
PI3K_only	C1GALT1
PI3K_only	CMAS
PI3K_only	CIC
PI3K_only	AKR1B10
PI3K_only	REXO4
PI3K_only	LZTFL1
PI3K_only	KIAA1244
PI3K_only	USP5
PI3K_only	YEATS4
MAPK_PI3K	RPL22
MAPK_PI3K	TPR
MAPK_PI3K	NCOA3
MAPK_PI3K	NRIP1
MAPK_PI3K	TKT
MAPK_PI3K	HINT1
MAPK_PI3K	SERBP1
MAPK_PI3K	ILF2
MAPK_PI3K	CEBPB
MAPK_PI3K	GAPDH
MAPK_PI3K	RPN2
MAPK_PI3K	RPS2
MAPK_PI3K	SEPT9
MAPK_PI3K	CD24
MAPK_PI3K	B2M
MAPK_PI3K	PSMA7
MAPK_PI3K	LAPTM4B
MAPK_PI3K	CYP51A1
MAPK_PI3K	ACTB
MAPK_PI3K	TPT1
MAPK_PI3K	NAP1L1
MAPK_PI3K	NOTCH2NL
MAPK_PI3K	C3orf14
MAPK_PI3K	HMGB1
MAPK_PI3K	HMGB2
MAPK_PI3K	TFRC
MAPK_PI3K	NDUFA1
MAPK_PI3K	ACTN1
MAPK_PI3K	SSR1
MAPK_PI3K	PTBP1
MAPK_PI3K	PHLDA2
MAPK_PI3K	PFN1
MAPK_PI3K	RRM2
MAPK_PI3K	KLF4
MAPK_PI3K	TTC3
MAPK_PI3K	UCRC
MAPK_PI3K	LOC339047
MAPK_PI3K	PGRMC1
MAPK_PI3K	HNRNPA1
MAPK_PI3K	HNRNPAB
MAPK_PI3K	HNRNPC
MAPK_PI3K	DDOST
MAPK_PI3K	HNRNPH1
MAPK_PI3K	DDX5
MAPK_PI3K	LSM3
MAPK_PI3K	PTMA
MAPK_PI3K	DHX15
MAPK_PI3K	NEDD8
MAPK_PI3K	S100A6
MAPK_PI3K	SLC38A2
MAPK_PI3K	TUBA1B
MAPK_PI3K	S100A10
MAPK_PI3K	PDE4C
MAPK_PI3K	CKS2
MAPK_PI3K	TUBB3
MAPK_PI3K	TIMP1
MAPK_PI3K	TUBB2C
MAPK_PI3K	AP2S1
MAPK_PI3K	BANF1
MAPK_PI3K	IER3
MAPK_PI3K	CLU
MAPK_PI3K	PTPRO
MAPK_PI3K	IFITM3
MAPK_PI3K	SUB1
MAPK_PI3K	SCD
MAPK_PI3K	BTF3
MAPK_PI3K	ZFAND5
MAPK_PI3K	MORF4L1
MAPK_PI3K	UCP2
MAPK_PI3K	UGCG
MAPK_PI3K	PKM2
MAPK_PI3K	SEC61B
MAPK_PI3K	NOP10
MAPK_PI3K	UQCRB
MAPK_PI3K	ALCAM
MAPK_PI3K	TUG1
MAPK_PI3K	GNAS
MAPK_PI3K	YWHAQ
MAPK_PI3K	WDR1
MAPK_PI3K	CTBP2
MAPK_PI3K	DNAJA1
MAPK_PI3K	HSPA5
MAPK_PI3K	EEF1A2
MAPK_PI3K	HSPA8
MAPK_PI3K	HSP90AA1
MAPK_PI3K	SFN
MAPK_PI3K	KPNB1
MAPK_PI3K	HSP90AB1
MAPK_PI3K	TNPO1
MAPK_PI3K	NPM1
MAPK_PI3K	EZR
MAPK_PI3K	FLNA
MAPK_PI3K	APPBP2
MAPK_PI3K	SET
MAPK_PI3K	TXNIP
MAPK_PI3K	DSTN
MAPK_PI3K	SFRS3
MAPK_PI3K	PNN
MAPK_PI3K	LARP1
MAPK_PI3K	DUSP1
MAPK_PI3K	MCL1
MAPK_PI3K	ARL6IP5
MAPK_PI3K	KTN1
MAPK_PI3K	TUBB
MAPK_PI3K	RPL13A
MAPK_PI3K	RTN4
MAPK_PI3K	COX7C
MAPK_PI3K	LDLR
MAPK_PI3K	APLP2
MAPK_PI3K	CSDA
MAPK_PI3K	RPL14
MAPK_PI3K	CAV1
MAPK_PI3K	XPO1
MAPK_PI3K	REEP5
MAPK_PI3K	ITM2B
MAPK_PI3K	RPS9
MAPK_PI3K	PPIB
MAPK_PI3K	TM4SF1
MAPK_PI3K	PDIA6
MAPK_PI3K	YWHAZ
MAPK_PI3K	ACTR2
MAPK_PI3K	NR2F2
MAPK_PI3K	RPS17
MAPK_PI3K	ARF1
MAPK_PI3K	IER2
MAPK_PI3K	ARPC2
MAPK_PI3K	RHOA
MAPK_PI3K	RHOB
MAPK_PI3K	PERP
MAPK_PI3K	ATP5L
MAPK_PI3K	KARS
MAPK_PI3K	ARHGDIA
MAPK_PI3K	EEF1D
MAPK_PI3K	THBS1
MAPK_PI3K	EEF2
MAPK_PI3K	RAB1A
MAPK_PI3K	MT1X
MAPK_PI3K	MT2A
MAPK_PI3K	IGF1R
MAPK_PI3K	PPP4C
MAPK_PI3K	DKK1
MAPK_PI3K	IGFBP5
MAPK_PI3K	ISG15
MAPK_PI3K	EGR1
MAPK_PI3K	DICER1
MAPK_PI3K	P4HB
MAPK_PI3K	ACTG1
MAPK_PI3K	SLC20A1
MAPK_PI3K	EIF4A1
MAPK_PI3K	EIF4B
MAPK_PI3K	SERF2
MAPK_PI3K	KLF10
MAPK_PI3K	DAZAP2
MAPK_PI3K	EIF5
MAPK_PI3K	FTL
MAPK_PI3K	ATF4
MAPK_PI3K	EIF3B
MAPK_PI3K	BZW1
MAPK_PI3K	EIF1
MAPK_PI3K	DDX21
MAPK_PI3K	CDC42
MAPK_PI3K	ENO1
MAPK_PI3K	RPL3
MAPK_PI3K	TOP1
MAPK_PI3K	RAD21
MAPK_PI3K	NACAP1
MAPK_PI3K	AMIGO2
MAPK_PI3K	RPL10
MAPK_PI3K	LRRFIP1
MAPK_PI3K	RPL13
MAPK_PI3K	CYB561
TGFB	ABCC6
TGFB	C18orf18
TGFB	SLC2A11
TGFB	HAPLN1
TGFB	CRY2
TGFB	DOCK2
TGFB	GDNF
TGFB	GPT
TGFB	C5orf37
TGFB	KCNK2
TGFB	LTC4S
TGFB	TMEM17
TGFB	MEOX2
TGFB	MFAP4
TGFB	MFI2
TGFB	MYCN
TGFB	PCOLCE
TGFB	PCSK1
TGFB	PENK
TGFB	PGM5
TGFB	POU6F1
TGFB	PSG1
TGFB	PSG11
TGFB	RABGGTA
TGFB	LOC645431
TGFB	SFRP4
TGFB	FLJ39051
TGFB	TAF6
TGFB	LOC728264
TGFB	VDAC2
TGFB	VSNL1
TGFB	WT1
TGFB	ZNF135
TGFB	PRR16
TGFB	SULF2
TGFB	CLTCL1
TGFB	SNHG3
TGFB	IRS4
TGFB	CHRD
TGFB	DOCK11
TGFB	WISP1
TGFB	TAF1A
TGFB	TBX18
TGFB	NDNL2
TGFB	NRXN2
TGFB	CXCL14
TGFB	PSMD6
TGFB	KIAA0644
TGFB	UST
TGFB	CORO2B
TGFB	FBLN5
TGFB	SLMO1
TGFB	TMEM119
TGFB	FKRP
TGFB	ASAM
TGFB	C7orf63
TGFB	SIRT6
TGFB	FMN1
TGFB	PTH2
TGFB	C5orf34
TGFB	CYP2U1
TGFB	KCTD11
TGFB	AMN
TGFB	PPP1R14C
TGFB	GLT8D2
TGFB	SH3RF3
TGFB	ANAPC7
TGFB	SF3B14
TGFB	C1orf97
TGFB	PPAPDC3
TGFB	RAX2
TGFB	RELT
TGFB	C3orf21
TGFB	P4HA3
TGFB	GPR133
TGFB	NCRNA00107
TGFB	MARCH5
TGFB	SLC35F2
TGFB	SLC41A3
TGFB	FAM120C
TGFB	IKZF2
TGFB	LOC100129122
TGFB	CLSTN1
TGFB	LOC285147
TGFB	PDZRN3
TGFB	SLC9A9
TGFB	TRIM35
TGFB	NFASC
TGFB	ZNF167
TGFB	GLT25D2
TGFB	KIAA0774
TGFB	VWCE
TGFB	LOC646014
TGFB	LOC100130097
TGFB	TMEM167B
TGFB	USP35
TGFB	SCRN2
TGFB	LOC90586
TGFB	HOXA11AS
TGFB	DKFZp761E198
TGFB	TMEM67
TGFB	LVRN
TGFB	POLR1A
TGFB	IFT172
TGFB	CHMP7
TGFB	ACPL2
TGFB	HPGDS
TGFB	ARL9
TGFB	C22orf36
TGFB	PUSL1
TGFB	TMEM196
TGFB	C16orf5
TGFB	NUDT19
TGFB	ADAL
TGFB	C10orf84
TGFB	PBLD
TGFB	VPS33A
TGFB	C5orf42
TGFB	ZNF649
JAK-STAT	ADCYAP1
JAK-STAT	ADH6
JAK-STAT	AGTR2
JAK-STAT	ALDOB
JAK-STAT	ALOX5AP
JAK-STAT	ALOX12B
JAK-STAT	ALOX15
JAK-STAT	AOC2
JAK-STAT	ARR3
JAK-STAT	ART1
JAK-STAT	ASCL2
JAK-STAT	ATP1A1
JAK-STAT	LOC400464
JAK-STAT	C1QA
JAK-STAT	C1QB
JAK-STAT	CACNA1S
JAK-STAT	CASQ1
JAK-STAT	CCK
JAK-STAT	CD3D
JAK-STAT	CD28
JAK-STAT	CD72
JAK-STAT	CDH8
JAK-STAT	CETN1
JAK-STAT	CEACAM4
JAK-STAT	CHIT1
JAK-STAT	CHRNB3
JAK-STAT	CMA1
JAK-STAT	CRHR2
JAK-STAT	CYP2A13
JAK-STAT	CYP21A2
JAK-STAT	DEFB1
JAK-STAT	DTX1
JAK-STAT	DVL1
JAK-STAT	FCGR1A
JAK-STAT	FCGR1B
JAK-STAT	FCGR2A
JAK-STAT	FCGR3B
JAK-STAT	DARC
JAK-STAT	CHAC2
JAK-STAT	GNA15
JAK-STAT	GPR3
JAK-STAT	GPR17
JAK-STAT	GPR31
JAK-STAT	HDC
JAK-STAT	FOXA2
JAK-STAT	TLX2
JAK-STAT	IFNA4
JAK-STAT	IL8RB
JAK-STAT	AFF3
JAK-STAT	LCK
JAK-STAT	LDHA
JAK-STAT	LMO1
JAK-STAT	MATK
JAK-STAT	MEFV
JAK-STAT	MEP1A
JAK-STAT	MICA
JAK-STAT	MNDA
JAK-STAT	MPP3
JAK-STAT	MYH2
JAK-STAT	SERPINB10
JAK-STAT	PNOC
JAK-STAT	PPBP
JAK-STAT	PRSS1
JAK-STAT	KLK6
JAK-STAT	RFX3
JAK-STAT	RLN1
JAK-STAT	RPL11
JAK-STAT	RPS26
JAK-STAT	CCL3
JAK-STAT	SLC15A2
JAK-STAT	SLC34A1
JAK-STAT	SPAG4
JAK-STAT	CDKL5
JAK-STAT	MED22
JAK-STAT	SYN1
JAK-STAT	TGM1
JAK-STAT	ICAM5
JAK-STAT	TOP1P2
JAK-STAT	TSSC1
JAK-STAT	C17orf97
JAK-STAT	NR1H2
JAK-STAT	ARHGAP15
JAK-STAT	ZBTB16
JAK-STAT	COLQ
JAK-STAT	BFSP2
JAK-STAT	CILP
JAK-STAT	CHST1
JAK-STAT	RGS9
JAK-STAT	TRIP12
JAK-STAT	AKAP6
JAK-STAT	GMFG
JAK-STAT	FRMPD4
JAK-STAT	ARHGAP11A
JAK-STAT	ELMO1
JAK-STAT	P2RY14
JAK-STAT	MSLN
JAK-STAT	LRRC23
JAK-STAT	AKAP3
JAK-STAT	SOX30
JAK-STAT	SFRS16
JAK-STAT	GAL3ST4
JAK-STAT	GSDMD
JAK-STAT	ALS2CR8
JAK-STAT	CCDC134
JAK-STAT	C1orf175
JAK-STAT	C6orf208
JAK-STAT	PIGZ
JAK-STAT	TET1
JAK-STAT	CXXC4
JAK-STAT	C15orf44
JAK-STAT	C2orf55
JAK-STAT	ZMAT2
JAK-STAT	Magmas
JAK-STAT	SPATA9
JAK-STAT	NCALD
JAK-STAT	MGC29506
JAK-STAT	MYCBPAP
JAK-STAT	BIN2
JAK-STAT	MAGEC2
JAK-STAT	CHCHD6
JAK-STAT	MPV17L2
JAK-STAT	TMEM25
JAK-STAT	LOC348262
JAK-STAT	IL20RA
JAK-STAT	CCDC52
JAK-STAT	CYTL1
JAK-STAT	C16orf91
JAK-STAT	CHTF8
JAK-STAT	PIH1D1
JAK-STAT	FLJ11292
JAK-STAT	PLAC8L1
JAK-STAT	ARSG
JAK-STAT	LIMS2
JAK-STAT	RADIL
JAK-STAT	FAIM2
JAK-STAT	LIN37
JAK-STAT	EXOC6B
JAK-STAT	AMOT
JAK-STAT	KCNK13
JAK-STAT	NKAIN3
JAK-STAT	FCHSD1
JAK-STAT	GATS
JAK-STAT	C17orf61
JAK-STAT	GGTLC2
JAK-STAT	IPCEF1
JAK-STAT	CDYL2
JAK-STAT	CCDC9
JAK-STAT	ZNF549
JAK-STAT	LINGO2
JAK-STAT	SIGLEC9
JAK-STAT	RBMXL2
JAK-STAT	ZNF483
JAK-STAT	KANK3
JAK-STAT	SDR42E1
JAK-STAT	C19orf47
JAK-STAT	KLHDC9
JAK-STAT	NCR3
JAK-STAT	ZNF280A
JAK-STAT	ZFP1
JAK-STAT	CLSPN
JAK-STAT	NEUROD6
JAK-STAT	GVIN1
H2O2	LARP6
H2O2	EFS
H2O2	SMNDC1
H2O2	RPS5
H2O2	MATN2
H2O2	ETFB
H2O2	ACVR1
H2O2	F3
H2O2	CLIP1
H2O2	FAM53C
H2O2	KRCC1
H2O2	BRE
H2O2	ADH1B
H2O2	MYL9
H2O2	DEGS1
H2O2	SEC24B
H2O2	C6orf120
H2O2	FGF2
H2O2	FGF7
H2O2	AMOTL2
H2O2	PPIH
H2O2	CXCL5
H2O2	FKBP2
H2O2	FOXF1
H2O2	LRRC41
H2O2	VAT1
H2O2	RPS3A
H2O2	SMARCA5
H2O2	SFRP1
H2O2	SFRS4
H2O2	FAM46A
H2O2	AGPAT1
H2O2	FBXO11
H2O2	MRPL28
H2O2	CCT2
H2O2	ARMC9
H2O2	AQP3
H2O2	ARMCX3
H2O2	MXD4
H2O2	POSTN
H2O2	FLJ10357
H2O2	G6PC3
H2O2	RAB27A
H2O2	TMBIM4
H2O2	SNAI2
H2O2	AKR1C3
H2O2	FNDC3A
H2O2	EXOSC7
H2O2	LOC729580
H2O2	MUT
H2O2	GAA
H2O2	SAMD4A
H2O2	ARID4B
H2O2	PPP1R12A
H2O2	NBL1
H2O2	SOCS5
H2O2	NDUFA5
H2O2	PEX11B
H2O2	SUCLA2
H2O2	SNX19
H2O2	BDNF
H2O2	NRP1
H2O2	BMP4
H2O2	BMPR1A
H2O2	BNIP3
H2O2	STXBP3
H2O2	SVEP1
H2O2	DTX4
H2O2	MTMR2
H2O2	GM2A
H2O2	NHP2L1
H2O2	OS9
H2O2	GNAI2
H2O2	PDGFC
H2O2	FERMT2
H2O2	PDLIM2
H2O2	KLF2
H2O2	FBXW11
H2O2	ZEB1
H2O2	NUCB1
H2O2	CARS
H2O2	ACTR1A
H2O2	ADAMTS5
H2O2	RUNX1
H2O2	TNFRSF11B
H2O2	MGAT1
H2O2	GSTM1
H2O2	TGFBR3
H2O2	GTF2H1
H2O2	ATG12
H2O2	GYS1
H2O2	GNB2L1
H2O2	SERPINB2
H2O2	ORAI3
H2O2	AVPI1
H2O2	AP2B1
H2O2	PRAF2
H2O2	PBX2
H2O2	MYST4
H2O2	PCTK2
H2O2	HGF
H2O2	CDR2
H2O2	GIPC1
H2O2	HLA-A
H2O2	UBXN1
H2O2	FKBP9
H2O2	TSNAX
H2O2	TTC1
H2O2	KLF4
H2O2	ENOPH1
H2O2	PIK3IP1
H2O2	CKB
H2O2	COLEC12
H2O2	OSBPL8
H2O2	PRR14
H2O2	RAB9A
H2O2	LMF2
H2O2	PIGF
H2O2	UBE2V2
H2O2	ARHGAP29
H2O2	PLEKHA5
H2O2	PLCD1
H2O2	HSD11B1
H2O2	FTO
H2O2	USF2
H2O2	COL1A1
H2O2	UBQLN2
H2O2	MBOAT7
H2O2	WFS1
H2O2	ADAM9
H2O2	ALDH3B1
H2O2	WNT5A
H2O2	NEK7
H2O2	TP53I3
H2O2	WWTR1
H2O2	SAR1A
H2O2	PPP2R5E
H2O2	IGFBP3
H2O2	IGFBP5
H2O2	TTC37
H2O2	VCAN
H2O2	HSPB6
H2O2	SENP6
H2O2	CSTF3
H2O2	CTGF
H2O2	MAPK3
H2O2	TTC35
H2O2	IL1R1
H2O2	SEPT10
H2O2	GGA1
H2O2	TAF1D
H2O2	PINK1
H2O2	PRRG1
H2O2	FAM115A
H2O2	ZBTB38
H2O2	HTRA1
H2O2	C14orf147
H2O2	PSMB2
H2O2	
H2O2	TSC22D2
H2O2	CUL7
H2O2	RSRC2
H2O2	DCN
H2O2	PTGS1
H2O2	DDIT3
H2O2	LOC151162
H2O2	CEP170
H2O2	TLK1
H2O2	TMEM47
H2O2	LBH
H2O2	FAM65A
H2O2	TWSG1
H2O2	RAB2A
H2O2	HSPB8
H2O2	RAB5C
H2O2	PNPLA2
H2O2	RAP2A
H2O2	ARSJ
H2O2	TBPL1
H2O2	TFPI2
H2O2	E2F4
H2O2	REV3L
H2O2	RGS2
H2O2	TSPAN5
H2O2	KIAA1199
H2O2	SIDT2
H2O2	UTP18
H2O2	RNF6
H2O2	EIF4EBP1
H2O2	TMEM35
H2O2	SACS
IL-1	TPT1
IL-1	ATP6V1A
IL-1	SNX3
IL-1	HLA-C
IL-1	SNX17
IL-1	KDM6B
IL-1	PDCD4
IL-1	DDX3X
IL-1	EHD2
IL-1	MRP63
IL-1	BTG2
IL-1	MAPK6
IL-1	GADD45A
IL-1	MALL
IL-1	CDIPT
IL-1	PXN
IL-1	PNRC1
IL-1	NINJ1
IL-1	USP4
IL-1	PLAU
IL-1	PPIE
IL-1	DERL1
IL-1	FGFR1
IL-1	
IL-1	YWHAQ
IL-1	WDR1
IL-1	MRPL40
IL-1	MMP14
IL-1	QKI
IL-1	HSPA4
IL-1	NXF1
IL-1	FAM162A
IL-1	CAP1
IL-1	VDAC3
IL-1	SFRS5
IL-1	RCAN1
IL-1	ADAMTS1
IL-1	LITAF
IL-1	HBEGF
IL-1	MPZL1
IL-1	ELOVL1
IL-1	BIRC2
IL-1	CSDA
IL-1	SLC43A3
IL-1	IDH1
IL-1	UGCG
IL-1	CPT1A
IL-1	POLR2F
IL-1	PCBP2
IL-1	PRNP
IL-1	YWHAE
IL-1	LSM12
IL-1	MED15
IL-1	MT1G
IL-1	MT1H
IL-1	MRPL18
IL-1	EFNA1
IL-1	EFNB2
IL-1	SLC16A3
IL-1	FEZ2
IL-1	TNIP2
IL-1	EPHA2
IL-1	EIF4B
IL-1	EIF5A
IL-1	SSH1
IL-1	CLEC2B
IL-1	ATF4
IL-1	PSME3
IL-1	STARD7
IL-1	SEPT7
IL-1	FSCN1
IL-1	TRIB1
IL-1	EPAS1
IL-1	PACSIN2
IL-1	HNRNPR
MAPK_only	TPM1
MAPK_only	VPS35
MAPK_only	TNPO1
MAPK_only	GSTM3
